0,5
0.5,5
1,5
1.5,5
2,5
2.5,5
3,5
3.5,5
4,5
4.5,5
5,5
5.5,5
6,5
6.5,5
7,5
7.5,5
8,5
8.5,5
9,5
9.5,5
10,5
10.5,5
11,5
11.5,5
12,5
12.5,5
13,5
13.5,5
14,5
14.5,5
15,5
15.5,5
16,5
16.5,5
17,5
17.5,5
18,5
18.5,5
19,5
19.5,5
20,5
20,5.5
20,6
20.5,6
21,6
21.5,6
22,6
22.5,6
23,6
23.5,6
24,6
24.5,6
25,6
25,5.5
25,5
25.5,5
26,5
26.5,5
27,5
27.5,5
28,5
28.5,5
29,5
29.5,5
30,5
30.5,5
31,5
31.5,5
32,5
32.5,5
33,5
33.5,5
34,5
34.5,5
35,5
35.5,5
36,5
36.5,5
37,5
37.5,5
38,5
38.5,5
39,5
39.5,5
40,5
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,0
9,0
9.5,0
10,0
10.5,0
11,0
11.5,0
12,0
12.5,0
13,0
13.5,0
14,0
14.5,0
15,0
15.5,0
16,0
16.5,0
17,0
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20,0.5
20,1
20.5,1
21,1
21.5,1
22,1
22.5,1
23,1
23.5,1
24,1
24.5,1
25,1
25,0.5
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,0
32.5,0
33,0
33.5,0
34,0
34.5,0
35,0
35.5,0
36,0
36.5,0
37,0
37.5,0
38,0
38.5,0
39,0
39.5,0
40,0
